,phone,email,address,url,hobby,sum,threshold
0,0.9980574198117191,0.9993308168582177,0.9985901675556624,0.9993633014767508,0.9964266919613562,0.9917683976637063,0.89
1,0.9980444259643059,0.9992918353159779,0.9985576829371293,0.9993633014767508,0.9964331888850629,0.9916904345792268,0.9
2,0.9980379290405993,0.9992528537737382,0.9985057075474763,0.9993503076293375,0.996465673503596,0.9916124714947472,0.91
3,0.998024935193186,0.9992138722314984,0.99844073831041,0.9993373137819243,0.9965046550458359,0.9915215145628545,0.92
4,0.9979989474983595,0.9991489029944322,0.9983627752259305,0.9993178230108044,0.9965566304354888,0.9913850791650154,0.93
5,0.9979859536509462,0.9990579460625394,0.9982588244466245,0.9993048291633911,0.9965696242829021,0.9911771776064033,0.94
6,0.9979274813375867,0.9989994737491797,0.9980899044302523,0.9992658476211513,0.9966151027488485,0.9908978098870185,0.95
7,0.9978820028716403,0.9988435475802208,0.9978170336345741,0.9992398599263249,0.9966345935199683,0.9904170375327283,0.96
8,0.9978170336345741,0.9986746275638485,0.997505181296656,0.9992008783840851,0.9966865689096213,0.9898842897887851,0.97
9,0.9976935920841482,0.9983757690733438,0.9971153658742585,0.9991489029944322,0.9967255504518611,0.9890591804780436,0.98
